ranking,album_title,artist,rating,num_ratings,num_reviews,release_type
333,Within the Realm of a Dying Sun,Dead Can Dance,3.88,14000,150,Album
334,Desertshore,Nico,3.88,14000,144,Album
335,Breakfast in America,Supertramp,3.88,13000,176,Album
336,Symphony No. 3,Henryk Mikołaj Górecki,3.92,4000,53,Album
337,No Other,Gene Clark,3.92,5000,137,Album
338,The Ghost~Pop Tape,Devon Hendryx,3.86,16000,162,Album
339,Ask the Ages,Sonny Sharrock,3.93,4000,47,Album
340,Bizarre Ride II the Pharcyde,The Pharcyde,3.89,12000,132,Album
341,King Tubbys Meets Rockers Uptown,Agustus Pablo,3.92,6000,61,Album
342,Crimson,Edge of Sanity,3.9,8000,125,Album
343,Stakes Is High,De La Soul,3.92,5000,44,Album
344,Ladies and Gentlemen We Are Floating in Space,Spiritualized®,3.83,25000,242,Album
345,Skylarking,XTC,3.87,14000,227,Album
346,Los peores 7 peores km de mi vida,Corea,3.92,5000,52,Album
347,Muerte,Canserbero,3.92,2000,20,Album
348,"Suites for Violoncello Solo, BWV 1007-1012","Johann Sebastian Bach/, Anner Bylsma",3.95,662,2,Album
349,Bury Me at Makeout Creek,Mitski,3.85,19000,111,Album
350,Déjà vu,"Crosby, Stills, Nash & Young",3.89,11000,203,Album
351,The Natural Bridge,Silver Jews,3.91,7000,56,Album
352,4 Balladen; Barcarolle; Fantasie,"Frédéric Chopin/, Krystian Zimerman",3.95,1000,7,Album
353,Sunbather,Deafheaven,3.78,30000,288,Album
354,Don't Break the Oath,Mercyful Fate,3.89,9000,142,Album
355,Mental Funeral,Autopsy,3.9,7000,88,Album
356,NEU! '75,NEU!,3.88,12000,137,Album
357,Paysage d'Hiver,Paysage d'Hiver,3.89,10000,95,Album
358,"For Emma, Forever Ago",Bon Iver,3.82,27000,273,Album
359,Rock Bottom,Robert Wyatt,3.86,13000,233,Album
360,Peter Gabriel,Peter Gabriel,3.88,12000,182,Album
361,Giles Corey,Giles Corey,3.85,17000,110,Album
362,The Cold Vein,Cannibal Ox,3.88,11000,156,Album
363,Left Hand Path,Entombed,3.89,9000,87,Album
364,Diabolical Conquest,Incantation,3.92,3000,31,Album
365,Insignificance,Jim O'Rourke,3.9,7000,71,Album
366,The Idiot,Iggy Pop,3.86,16000,205,Album
367,Down on the Road by the Beach渚にて…,スティーブ・ハイェット [Steve Hiett],3.92,4000,40,Album
368,6 Brandenburgische Konzerte,"Johann Sebastian Bach/, The English Concert/, Trevor Pinnock",3.94,639,5,Album
369,Science Fiction,Ornette Coleman,3.92,5000,41,Album
370,The Moon Is a Dead World,Gospel,3.89,9000,50,Album
371,Angel Dust,Faith No More,3.85,17000,293,Album
372,"Fly, Fly My Sadness","The Bulgarian Voices Angelite,, Huun-Huur-Tu,, Sergey StarostinСергей Старостин&, Misha Alperin",3.93,3000,24,Album
373,Timely!!タイムリー,Anri杏里,3.89,9000,61,Album
374,October Rust,Type O Negative,3.88,11000,117,Album
375,Choir Concerto,"Alfred SchnittkeАльфред Шнитке/, USSR Ministry of Culture Chamber ChoirГосударственный камерный хор Министерства культуры СССР/, Valeri PolyanskyВалерий Полянский",3.93,1000,8,Album
376,Doggystyle,Snoop Doggy Dogg,3.85,17000,201,Album
377,Faust IV,Faust,3.87,14000,134,Album
378,Heart of The Congos,The Congos,3.9,6000,95,Album
379,Unquestionable Presence,Atheist,3.87,11000,153,Album
380,Gnossiennes; Gymnopédies; Ogives; Trois sarabandes; Petite ouverture à danser,"Erik Satie/, Reinbert de Leeuw",3.92,3000,17,Album
381,Dopesmoker,Sleep,3.84,15000,182,Album
382,Hayalet Islığı,Farazi v Kayra,3.91,2000,16,Album
383,From Filthy Tongue of Gods and Griots,Dälek,3.87,11000,82,Album
384,Another Sunny Day,honeydip,3.92,3000,12,Album
385,Unfinished Masterpiece,Eddie Palmieri,3.93,2000,13,Album
386,Converging Ages,Inanna,3.91,3000,16,Album
387,Almendra,Almendra,3.89,6000,58,Album
388,Peace and Love,Dadawah,3.91,4000,59,Album
389,"24 Préludes, Op. 28; Préludes Nr. 25, Op. 45; Nr. 26, Op. Posth.","Frédéric Chopin/, Martha Argerich",3.93,1000,4,Album
390,The Chronic,Dr. Dre,3.83,20000,285,Album
391,Feldman Edition 6: String Quartet No. 2,"Morton Feldman/, FLUX Quartet",3.89,1000,29,Album
392,Twin Fantasy,Car Seat Headrest,3.81,21000,149,Album
393,The Minstrel Show,Little Brother,3.91,4000,38,Album
394,Tell Me About the Long Dark Path Home,The Newfound Interest in Connecticut,3.87,10000,68,Album
395,Sonic Excess in Its Purest Form,Crowbar,3.9,4000,37,Album
396,João Gilberto,João Gilberto,3.91,4000,58,Album
397,Epidemic of Violence,Demolition Hammer,3.9,4000,66,Album
398,Unhappy Refrainアンハッピーリフレイン,wowaka,3.9,4000,42,Album
399,Transa,Caetano Veloso,3.89,7000,54,Album
400,Don Cherry,Don Cherry,3.9,5000,36,Album
401,Overkill,Motörhead,3.87,10000,111,Album
402,We Are the Romans,Botch,3.88,8000,71,Album
403,VesВес,Kunteynir,3.91,2000,45,Album
404,Die Kunst der Fuge,"Johann Sebastian Bach/, Tatiana Nikolayeva",3.92,898,2,Album
405,Run the Jewels 2,Run the Jewels,3.8,24000,124,Album
406,I'm in Your Mind Fuzz,King Gizzard & The Lizard Wizard,3.84,16000,85,Album
407,Hex,Bark Psychosis,3.85,14000,144,Album
408,You Must Believe in Spring,Bill Evans,3.9,5000,42,Album
409,Transient,Gaelle,3.9,3000,23,Album
410,Études Op.10 & Op.25,"Frédéric Chopin/, Maurizio Pollini",3.92,1000,13,Album
411,Love on the Sudanラヴ・オン・ザ・スーダン,Billy Harper Quintet,3.93,497,2,Album
412,PRODUCT,SOPHIE,3.85,11000,74,Album
413,Hats,The Blue Nile,3.87,8000,117,Album
414,Monotheist,Celtic Frost,3.87,7000,110,Album
415,Details,Frou Frou,3.89,7000,52,Album
416,The Four Seasons,Antonio Vivaldi,3.91,1000,6,Album
417,69 Love Songs,The Magnetic Fields,3.84,14000,273,Album
418,Symphony No. 3 (Symphony of Sorrowful Songs); 3 Olden Style Pieces,Henryk Mikołaj Górecki,3.91,1000,6,Album
419,Diary,Sunny Day Real Estate,3.83,18000,149,Album
420,Consuming Impulse,Pestilence,3.88,6000,59,Album
421,Esquemas juveniles,Javiera Mena,3.89,4000,36,Album
